Year,Datetime,Stage,Stadium,City,Referee,Assistant1,Assistant2,Host,TournamentGoals,QualifiedTeams,TournamentMatches,Winner
1930,13 Jul 1930 - 15:00,Group 1,Pocitos,Montevideo,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA),Uruguay,70,13,18,Uruguay
1930,13 Jul 1930 - 15:00,Group 4,Parque Central,Montevideo,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),Uruguay,70,13,18,Uruguay
1930,14 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA),Uruguay,70,13,18,Uruguay
1930,14 Jul 1930 - 14:50,Group 3,Pocitos,Montevideo,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU),Uruguay,70,13,18,Uruguay
1930,15 Jul 1930 - 16:00,Group 1,Parque Central,Montevideo,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU),Uruguay,70,13,18,Uruguay
1930,16 Jul 1930 - 14:45,Group 1,Parque Central,Montevideo,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL),Uruguay,70,13,18,Uruguay
1930,17 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI),Uruguay,70,13,18,Uruguay
1930,17 Jul 1930 - 14:45,Group 4,Parque Central,Montevideo,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU),Uruguay,70,13,18,Uruguay
1930,18 Jul 1930 - 14:30,Group 3,Estadio Centenario,Montevideo,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL),Uruguay,70,13,18,Uruguay
1930,19 Jul 1930 - 12:50,Group 1,Estadio Centenario,Montevideo,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA),Uruguay,70,13,18,Uruguay
1930,19 Jul 1930 - 15:00,Group 1,Estadio Centenario,Montevideo,SAUCEDO Ulises (BOL),ALONSO Gualberto (URU),RADULESCU Constantin (ROU),Uruguay,70,13,18,Uruguay
1930,20 Jul 1930 - 13:00,Group 2,Estadio Centenario,Montevideo,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX),Uruguay,70,13,18,Uruguay
1930,20 Jul 1930 - 15:00,Group 4,Estadio Centenario,Montevideo,VALLARINO Ricardo (URU),MACIAS Jose (ARG),LOMBARDI Domingo (URU),Uruguay,70,13,18,Uruguay
1930,21 Jul 1930 - 14:50,Group 3,Estadio Centenario,Montevideo,REGO Gilberto (BRA),WARNKEN Alberto (CHI),SAUCEDO Ulises (BOL),Uruguay,70,13,18,Uruguay
1930,22 Jul 1930 - 14:45,Group 1,Estadio Centenario,Montevideo,LANGENUS Jean (BEL),CRISTOPHE Henry (BEL),SAUCEDO Ulises (BOL),Uruguay,70,13,18,Uruguay
1930,26 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Montevideo,LANGENUS Jean (BEL),VALLEJO Gaspar (MEX),WARNKEN Alberto (CHI),Uruguay,70,13,18,Uruguay
1930,27 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Montevideo,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),BALWAY Thomas (FRA),Uruguay,70,13,18,Uruguay
1930,30 Jul 1930 - 14:15,Final,Estadio Centenario,Montevideo,LANGENUS Jean (BEL),SAUCEDO Ulises (BOL),CRISTOPHE Henry (BEL),Uruguay,70,13,18,Uruguay
1934,27 May 1934 - 16:30,Preliminary round,Stadio Benito Mussolini,Turin,VAN MOORSEL Johannes (NED),CAIRONI Camillo (ITA),BAERT Louis (BEL),Italy,70,16,17,Italy
1934,27 May 1934 - 16:30,Preliminary round,Giorgio Ascarelli,Naples,BARLASSINA Rinaldo (ITA),DATTILO Generoso (ITA),SASSI Otello (ITA),Italy,70,16,17,Italy
1934,27 May 1934 - 16:30,Preliminary round,San Siro,Milan,EKLIND Ivan (SWE),BERANEK Alois (AUT),BONIVENTO Ferruccio (ITA),Italy,70,16,17,Italy
1934,27 May 1934 - 16:30,Preliminary round,Littorale,Bologna,BRAUN Eugen (AUT),CARRARO Albino (ITA),TURBIANI Giuseppe (ITA),Italy,70,16,17,Italy
1934,27 May 1934 - 16:30,Preliminary round,Giovanni Berta,Florence,MATTEA Francesco (ITA),MELANDRI Ermenegildo (ITA),BAERT Jacques (FRA),Italy,70,16,17,Italy
1934,27 May 1934 - 16:30,Preliminary round,Luigi Ferraris,Genoa,BIRLEM Alfred (GER),CARMINATI Ettore (ITA),IVANCSICS Mihaly (HUN),Italy,70,16,17,Italy
1934,27 May 1934 - 16:30,Preliminary round,Nazionale PNF,Rome,MERCET Rene (SUI),ESCARTIN Pedro (ESP),ZENISEK Bohumil (TCH),Italy,70,16,17,Italy
1934,27 May 1934 - 16:30,Preliminary round,Littorio,Trieste,LANGENUS Jean (BEL),SCARPI Giuseppe (ITA),SCORZONI Raffaele (ITA),Italy,70,16,17,Italy
1934,31 May 1934 - 16:30,Quarter-finals,Stadio Benito Mussolini,Turin,BERANEK Alois (AUT),MOHAMED Youssuf (EGY),BAERT Jacques (FRA),Italy,70,16,17,Italy
1934,31 May 1934 - 16:30,Quarter-finals,San Siro,Milan,BARLASSINA Rinaldo (ITA),MERCET Rene (SUI),VAN MOORSEL Johannes (NED),Italy,70,16,17,Italy
1934,31 May 1934 - 16:30,Quarter-finals,Giovanni Berta,Florence,BAERT Louis (BEL),ZENISEK Bohumil (TCH),IVANCSICS Mihaly (HUN),Italy,70,16,17,Italy
1934,31 May 1934 - 16:30,Quarter-finals,Littorale,Bologna,MATTEA Francesco (ITA),ESCARTIN Pedro (ESP),BIRLEM Alfred (GER),Italy,70,16,17,Italy
1934,01 Jun 1934 - 16:30,Quarter-finals,Giovanni Berta,Florence,MERCET Rene (SUI),IVANCSICS Mihaly (HUN),ZENISEK Bohumil (TCH),Italy,70,16,17,Italy
1934,03 Jun 1934 - 16:30,Semi-finals,San Siro,Milan,EKLIND Ivan (SWE),BAERT Louis (BEL),ZENISEK Bohumil (TCH),Italy,70,16,17,Italy
1934,03 Jun 1934 - 16:30,Semi-finals,Nazionale PNF,Rome,BARLASSINA Rinaldo (ITA),BERANEK Alois (AUT),ESCARTIN Pedro (ESP),Italy,70,16,17,Italy
1934,07 Jun 1934 - 18:00,Match for third place,Giorgio Ascarelli,Naples,CARRARO Albino (ITA),CAIRONI Camillo (ITA),ESCARTIN Pedro (ESP),Italy,70,16,17,Italy
1934,10 Jun 1934 - 17:30,Final,Nazionale PNF,Rome,EKLIND Ivan (SWE),BAERT Louis (BEL),IVANCSICS Mihaly (HUN),Italy,70,16,17,Italy
1938,04 Jun 1938 - 17:00,First round,Parc des Princes,Paris,LANGENUS Jean (BEL),MARENCO Paul (FRA),VAN MOORSEL Johannes (NED),France,84,15,18,Italy
1938,05 Jun 1938 - 17:00,First round,Velodrome Municipale,Reims,CONRIE Roger (FRA),DE LA SALLE Charles (FRA),WEINGARTNER Karl (AUT),France,84,15,18,Italy
1938,05 Jun 1938 - 17:00,First round,Stade Olympique,Colombes,WUETHRICH Hans (SUI),KRIST Gustav (TCH),BIRLEM Alfred (GER),France,84,15,18,Italy
1938,05 Jun 1938 - 17:00,First round,Stade Municipal,Toulouse,SCARPI Giuseppe (ITA),VALPREDE Ferdinand (FRA),MERKCX Jean (FRA),France,84,15,18,Italy
1938,05 Jun 1938 - 17:00,First round,Stade V�lodrome,Marseilles,BERANEK Alois (AUT),BOUTOURE D. (FRA),TREHOU D. (FRA),France,84,15,18,Italy
1938,05 Jun 1938 - 17:30,First round,Stade de la Meinau,Strasbourg,EKLIND Ivan (SWE),POISSANT Louis (FRA),KISSENBERGER Ernest (FRA),France,84,15,18,Italy
1938,05 Jun 1938 - 18:30,First round,Cavee Verte,Le Havre,LECLERCQ Lucien (FRA),OLIVE D. (FRA),SDEZ Victor (FRA),France,84,15,18,Italy
1938,09 Jun 1938 - 18:00,First round,Stade Municipal,Toulouse,BIRLEM Alfred (GER),CAPDEVILLE Pierre (FRA),MARENCO Paul (FRA),France,84,15,18,Italy
1938,09 Jun 1938 - 18:00,First round,Parc des Princes,Paris,EKLIND Ivan (SWE),BAERT Louis (BEL),VAN MOORSEL Johannes (NED),France,84,15,18,Italy
1938,12 Jun 1938 - 17:00,Quarter-finals,Stade du Parc Lescure,Bordeaux,VON HERTZKA Pal (HUN),SCARPI Giuseppe (ITA),DE LA SALLE Charles (FRA),France,84,15,18,Italy
1938,12 Jun 1938 - 17:00,Quarter-finals,Victor Boucquey,Lille,BARLASSINA Rinaldo (ITA),BERANEK Alois (AUT),BOUTOURE D. (FRA),France,84,15,18,Italy
